name;image
Трубы и фитинги;category_img/main_category_img/armat.jpg
Запорная арматура;category_img/main_category_img/zapor.jpg
Сантехника;category_img/main_category_img/santech.png
Системы отопления;category_img/main_category_img/radiator.jpg
Канализация;category_img/main_category_img/canaliz.jpg
Водоснабжение;category_img/main_category_img/filter.png
Теплоизоляция;category_img/main_category_img/teploiz.jpg
Инструменты и аксессуары;category_img/main_category_img/instrum.jpeg
Климат;category_img/main_category_img/climat.jpg
